ID,genero,idade,etnia,formacao,estado,tempo_de_casa,departamento,senioridade
5B01,Feminino,29,Branco,Ensino Superior,PR,0,Administrativo,Gerente
18F5,Feminino,32,Pardo,Ensino Superior,RN,,Marketing,Analista Junior
1848,Feminino,39,Pardo,Mestrado,PR,4,Recursos Humanos,Gerente
C531,Feminino,18,Branco,Mestrado,PI,,Marketing,Analista Junior
BF84,Masculino,43,Branco,Ensino Superior,PR,,Marketing,Analista Junior
E235,Masculino,44,Branco,Ensino Superior,PE,4,Operacoes,Gerente
8938,Masculino,47,Pardo,Ensino Superior,CE,2,Administrativo,Estagiario
243F,Masculino,33,Branco,Ensino Superior,CE,4,Compras,Analista Pleno
E9E6,Masculino,31,Pardo,Ensino Superior,TO,6,Desenvolvimento de Produtos,Analista Pleno
F298,Feminino,27,Preto,Ensino Medio,MT,0,Administrativo,Analista Junior
4BC5,Feminino,28,Preto,Ensino Superior,RJ,8,Marketing,Analista Senior
9868,Feminino,29,Branco,Mestrado,AP,1,Compras,Analista Junior
58F4,Masculino,34,Branco,Ensino Superior,PE,0,TI,Analista Senior
4532,Masculino,31,Preto,Ensino Superior,RJ,8,Compras,Analista Junior
12B8,Masculino,30,Branco,Ensino Superior,RN,8,Vendas,Analista Pleno
A2CA,Masculino,22,Branco,Mestrado,PE,1,Marketing,Analista Pleno
E8CB,Masculino,21,Pardo,Ensino Superior,AP,7,Contabilidade,Analista Pleno
71FA,Masculino,39,Pardo,Pos graduacao,PR,6,Compras,Analista Pleno
F9D1,Masculino,20,Pardo,Ensino Superior,AC,4,Contabilidade,Analista Pleno
0D98,Masculino,36,Pardo,Pos graduacao,PR,8,Recursos Humanos,Analista Pleno
C3EB,Masculino,30,Pardo,Ensino Superior,AP,5,Compras,Analista Pleno
EC83,Feminino,29,Branco,Ensino Medio,SC,2,Contabilidade,Analista Junior
7D1E,Masculino,33,Branco,Ensino Superior,SP,5,Operacoes,Analista Junior
D5D3,Masculino,49,Branco,Ensino Superior,PI,2,Operacoes,Analista Pleno
FFD9,Feminino,40,Branco,Pos graduacao,RS,4,Contabilidade,Analista Pleno
13C2,Feminino,37,Branco,Doutorado,RJ,4,Administrativo,Analista Junior
D77E,Masculino,21,Branco,Mestrado,RO,,TI,Estagiario
D050,Masculino,18,Pardo,Ensino Superior,RJ,,Compras,Analista Pleno
2EAA,Masculino,24,Pardo,Ensino Superior,PR,8,Compras,Analista Senior
7CAA,Masculino,37,Pardo,Ensino Superior,PR,7,Recursos Humanos,Analista Senior
A0F6,Masculino,29,Branco,Pos graduacao,RS,2,Marketing,Gerente
0408,Feminino,30,Branco,Ensino Superior,MG,7,Desenvolvimento de Produtos,Analista Junior
3FD7,Masculino,20,Pardo,Ensino Superior,MG,,Desenvolvimento de Produtos,Analista Senior
B809,Masculino,25,Pardo,Ensino Superior,PR,,Desenvolvimento de Produtos,Analista Senior
787E,Masculino,29,Pardo,Ensino Superior,BA,9,TI,Analista Junior
ED17,Masculino,21,Pardo,Mestrado,ES,6,TI,Analista Junior
7C93,Masculino,27,Pardo,Pos graduacao,SP,5,Operacoes,Analista Junior
BCD4,Masculino,31,Pardo,Ensino Superior,RS,5,Vendas,Analista Junior
648E,Feminino,22,Pardo,Pos graduacao,RR,8,Marketing,Analista Pleno
1AC5,Masculino,29,Pardo,Ensino Superior,MA,4,Vendas,Analista Junior
8699,Masculino,32,Pardo,Doutorado,PB,9,Vendas,Analista Pleno
4F01,Masculino,24,Pardo,Ensino Superior,MA,3,Recursos Humanos,Analista Junior
6B89,Feminino,42,Branco,Ensino Superior,GO,2,Operacoes,Gerente
4551,Masculino,41,Branco,Ensino Superior,PA,3,Vendas,Analista Junior
799A,Masculino,18,Branco,Ensino Superior,AM,1,Operacoes,Analista Senior
C878,Masculino,39,Pardo,Ensino Superior,GO,8,Compras,Analista Junior
D553,Masculino,36,Pardo,Doutorado,RO,8,Recursos Humanos,Gerente
7975,Masculino,21,Preto,Ensino Medio,AC,7,Compras,Analista Junior
D3F9,Masculino,24,Pardo,Ensino Medio,RR,9,Desenvolvimento de Produtos,Analista Junior
4E64,Masculino,42,Pardo,Ensino Superior,MG,7,TI,Analista Pleno
ABF1,Masculino,36,Pardo,Mestrado,DF,9,Vendas,Analista Pleno
1566,Masculino,18,Pardo,Ensino Superior,PI,,Recursos Humanos,Analista Junior
9E90,Feminino,28,Branco,Ensino Superior,AP,5,Contabilidade,Analista Junior
8364,Masculino,25,Branco,Ensino Superior,SP,5,Administrativo,Analista Senior
34BE,Masculino,21,Pardo,Ensino Medio,PR,3,Operacoes,Analista Pleno
B2B6,Feminino,22,Pardo,Ensino Superior,MS,4,Marketing,Analista Junior
8F38,Masculino,36,Branco,Mestrado,TO,6,Desenvolvimento de Produtos,Analista Junior
FF44,Feminino,47,Pardo,Ensino Superior,PI,0,TI,Analista Senior
F0F1,Feminino,34,Pardo,Ensino Superior,PB,6,Desenvolvimento de Produtos,Gerente
D7DA,Feminino,39,Pardo,Mestrado,SP,3,Administrativo,Analista Junior
4D13,Feminino,31,Pardo,Ensino Superior,RS,,Compras,Gerente
A843,Masculino,29,Preto,Ensino Superior,CE,3,TI,Analista Senior
886D,Masculino,38,Branco,Ensino Medio,PI,3,Operacoes,Analista Senior
8F96,Feminino,37,Pardo,Ensino Superior,BA,5,Contabilidade,Analista Junior
5DA5,Feminino,31,Branco,Mestrado,RO,2,Compras,Analista Pleno
165B,Masculino,32,Pardo,Doutorado,PI,4,Marketing,Gerente
8F8E,Masculino,20,Pardo,Doutorado,SP,,Administrativo,Analista Senior
4113,Masculino,33,Branco,Ensino Superior,RJ,14,Recursos Humanos,Gerente
1C3D,Feminino,32,Pardo,Ensino Superior,BA,6,Compras,Analista Senior
0605,Masculino,41,Pardo,Ensino Superior,TO,6,Operacoes,Gerente
1E27,Feminino,18,Branco,Ensino Superior,RO,4,TI,Analista Pleno
A9A9,Masculino,53,Branco,Ensino Superior,DF,7,TI,Analista Senior
B5D7,Masculino,28,Branco,Ensino Superior,BA,12,TI,Gerente
F322,Masculino,39,Preto,Ensino Superior,RS,,Marketing,Analista Pleno
B47E,Masculino,37,Pardo,Mestrado,RS,6,Contabilidade,Analista Junior
5A29,Masculino,32,Pardo,Pos graduacao,AC,7,Contabilidade,Analista Senior
874C,Masculino,34,Pardo,Ensino Superior,SC,7,Operacoes,Analista Junior
3CC1,Masculino,26,Pardo,Doutorado,PE,5,Operacoes,Analista Pleno
2535,Masculino,20,Branco,Ensino Superior,PB,,Marketing,Analista Pleno
2841,Feminino,27,Pardo,Ensino Superior,MS,6,Contabilidade,Gerente
460C,Masculino,32,Pardo,Ensino Superior,BA,9,TI,Gerente
DE24,Masculino,34,Branco,Pos graduacao,PR,6,Compras,Analista Pleno
AE29,Feminino,38,Pardo,Ensino Superior,MT,2,Contabilidade,Analista Junior
9F89,Masculino,21,Pardo,Ensino Medio,PI,4,Vendas,Analista Junior
95C1,Masculino,38,Pardo,Mestrado,AM,13,Operacoes,Analista Junior
C69C,Feminino,35,Pardo,Mestrado,RJ,,Vendas,Analista Junior
E2E4,Masculino,20,Branco,Ensino Superior,RS,5,Operacoes,Analista Junior
A207,Feminino,37,Pardo,Ensino Superior,BA,10,TI,Analista Pleno
147D,Masculino,19,Branco,Doutorado,MT,5,Compras,Analista Pleno
A4A0,Masculino,20,Branco,Ensino Superior,SC,6,Compras,Gerente
377F,Masculino,33,Branco,Ensino Superior,MA,3,TI,Gerente
7384,Masculino,42,Branco,Ensino Superior,RO,8,Desenvolvimento de Produtos,Analista Junior
7C03,Masculino,24,Branco,Ensino Superior,SC,3,Marketing,Analista Pleno
99DA,Masculino,38,Branco,Ensino Superior,RN,12,Compras,Analista Junior
C5F2,Masculino,30,Branco,Ensino Superior,MT,2,Operacoes,Estagiario
5F86,Feminino,20,Pardo,Pos graduacao,RJ,6,Contabilidade,Analista Senior
BF2B,Feminino,19,Branco,Ensino Superior,GO,5,Administrativo,Analista Senior
244D,Masculino,28,Indigena,Ensino Superior,RS,4,Administrativo,Analista Pleno
5E7B,Masculino,36,Branco,Pos graduacao,AP,0,Marketing,Analista Junior
D8F6,Masculino,49,Branco,Mestrado,RS,2,Operacoes,Analista Senior
543F,Masculino,28,Pardo,Mestrado,RS,3,TI,Analista Junior
6266,Masculino,40,Branco,Ensino Superior,GO,3,Administrativo,Analista Senior
7D7B,Feminino,19,Pardo,Ensino Superior,MG,,Marketing,Analista Pleno
46F8,Masculino,22,Pardo,Pos graduacao,MG,7,Administrativo,Analista Pleno
D995,Masculino,18,Pardo,Ensino Superior,RJ,,Desenvolvimento de Produtos,Gerente
FF84,Feminino,37,Preto,Ensino Superior,MG,4,Contabilidade,Analista Senior
07CD,Feminino,35,Branco,Ensino Superior,MS,1,Contabilidade,Analista Pleno
9DBB,Masculino,32,Branco,Ensino Superior,RJ,8,Marketing,Analista Pleno
B17E,Masculino,32,Pardo,Ensino Medio,MG,1,Operacoes,Analista Senior
86DA,Feminino,20,Pardo,Ensino Superior,CE,,Contabilidade,Analista Senior
812C,Masculino,21,Pardo,Ensino Superior,RJ,,Operacoes,Gerente
22EF,Masculino,26,Pardo,Ensino Superior,PE,9,Desenvolvimento de Produtos,Analista Senior
EDB7,Masculino,39,Pardo,Ensino Superior,MG,6,Vendas,Analista Junior
5DCD,Masculino,56,Branco,Pos graduacao,AP,6,Vendas,Analista Pleno
09A0,Feminino,22,Branco,Mestrado,RR,5,Recursos Humanos,Analista Junior
5599,Masculino,28,Branco,Mestrado,RJ,7,Contabilidade,Gerente
F2A8,Feminino,35,Pardo,Mestrado,GO,7,Marketing,Analista Junior
6B51,Masculino,40,Branco,Ensino Superior,SP,3,TI,Analista Senior
A735,Masculino,41,Branco,Ensino Superior,MS,0,Administrativo,Estagiario
F771,Masculino,35,Branco,Pos graduacao,RJ,11,Marketing,Analista Junior
9146,Masculino,32,Preto,Pos graduacao,PB,10,TI,Gerente
80F9,Masculino,24,Pardo,Ensino Superior,MG,8,Recursos Humanos,Analista Junior
847F,Masculino,19,Branco,Ensino Superior,DF,5,Administrativo,Analista Senior
0983,Masculino,21,Pardo,Ensino Superior,RS,,TI,Analista Junior
B9C9,Masculino,19,Pardo,Ensino Superior,PA,,Operacoes,Estagiario
4810,Feminino,19,Pardo,Ensino Superior,PB,,Desenvolvimento de Produtos,Gerente
8865,Masculino,20,Branco,Mestrado,RS,1,Compras,Analista Senior
E5C2,Masculino,37,Pardo,Pos graduacao,RJ,2,TI,Gerente
FDC3,Masculino,28,Preto,Ensino Superior,BA,5,Operacoes,Analista Pleno
8E71,Masculino,41,Pardo,Ensino Superior,BA,3,Compras,Analista Junior
0529,Masculino,31,Pardo,Ensino Superior,ES,2,Vendas,Analista Junior
1D25,Masculino,27,Pardo,Ensino Superior,BA,11,Contabilidade,Analista Senior
1652,Masculino,36,Branco,Ensino Superior,RN,3,Recursos Humanos,Analista Junior
8220,Masculino,30,Preto,Ensino Superior,ES,7,Marketing,Analista Senior
253C,Masculino,27,Branco,Doutorado,SP,6,Marketing,Analista Senior
2181,Masculino,30,Pardo,Ensino Superior,PR,9,Recursos Humanos,Analista Junior
6B50,Feminino,19,Branco,Ensino Medio,RJ,2,Contabilidade,Analista Senior
8A8D,Masculino,32,Pardo,Ensino Superior,SE,,Vendas,Analista Senior
A7AA,Masculino,30,Pardo,Pos graduacao,RN,4,Compras,Analista Junior
798A,Masculino,21,Branco,Ensino Superior,RO,6,Contabilidade,Analista Senior
CDAC,Feminino,24,Branco,Ensino Superior,SC,7,Administrativo,Analista Junior
2458,Masculino,31,Pardo,Ensino Superior,PE,9,Compras,Gerente
FBF1,Feminino,40,Preto,Ensino Superior,MA,9,TI,Gerente
C4BD,Masculino,39,Pardo,Ensino Superior,RJ,6,Administrativo,Gerente
B1A9,Masculino,40,Branco,Ensino Superior,SP,5,Operacoes,Analista Junior
19FD,Masculino,20,Branco,Ensino Superior,DF,2,Desenvolvimento de Produtos,Gerente
5A4D,Masculino,47,Pardo,Ensino Superior,PR,5,Contabilidade,Analista Pleno
21C7,Masculino,30,Pardo,Mestrado,RO,5,Marketing,Gerente
3533,Masculino,35,Branco,Mestrado,RJ,8,Marketing,Analista Pleno
0106,Masculino,18,Preto,Mestrado,RJ,3,Desenvolvimento de Produtos,Analista Senior
D135,Masculino,31,Pardo,Mestrado,PI,0,Desenvolvimento de Produtos,Analista Junior
E0E1,Feminino,26,Pardo,Ensino Superior,AM,9,TI,Analista Senior
B951,Masculino,30,Pardo,Ensino Superior,MA,1,TI,Analista Pleno
22C1,Feminino,21,Pardo,Ensino Medio,RJ,,Compras,Analista Senior
C697,Feminino,40,Branco,Doutorado,SP,8,Compras,Analista Junior
AD9C,Masculino,32,Pardo,Ensino Superior,RR,2,Compras,Analista Senior
070E,Feminino,42,Branco,Ensino Superior,RJ,7,Vendas,Analista Senior
A016,Masculino,43,Preto,Pos graduacao,RJ,,Compras,Gerente
DCCF,Masculino,30,Pardo,Pos graduacao,RS,3,Vendas,Analista Pleno
E34A,Masculino,31,Pardo,Ensino Superior,SC,0,Contabilidade,Analista Pleno
444D,Masculino,27,Pardo,Mestrado,SP,6,Contabilidade,Analista Junior
85B2,Masculino,19,Pardo,Ensino Superior,SP,,Marketing,Analista Senior
DF23,Masculino,31,Pardo,Mestrado,TO,4,Contabilidade,Gerente
1FAF,Masculino,34,Branco,Ensino Superior,MT,2,TI,Analista Junior
4334,Feminino,39,Branco,Ensino Superior,AM,7,Desenvolvimento de Produtos,Analista Pleno
7045,Masculino,32,Branco,Pos graduacao,BA,5,Recursos Humanos,Analista Pleno
D2E8,Masculino,36,Pardo,Doutorado,PI,7,Recursos Humanos,Diretor
10E5,Masculino,27,Pardo,Doutorado,GO,,Contabilidade,Analista Junior
A577,Masculino,44,Branco,Mestrado,SP,1,Recursos Humanos,Analista Senior
C909,Masculino,21,Pardo,Ensino Superior,SP,1,TI,Analista Junior
FAFF,Feminino,39,Pardo,Ensino Superior,RN,9,Contabilidade,Analista Senior
1D5B,Feminino,33,Branco,Ensino Superior,RJ,7,Recursos Humanos,Analista Junior
4BBD,Masculino,43,Pardo,Ensino Superior,MG,5,Marketing,Analista Pleno
6418,Masculino,28,Branco,Ensino Superior,SC,5,TI,Analista Pleno
8ACE,Masculino,19,Branco,Ensino Superior,RS,5,Compras,Analista Pleno
212F,Masculino,38,Pardo,Ensino Superior,GO,5,Administrativo,Analista Junior
B479,Masculino,28,Branco,Ensino Superior,AC,3,Operacoes,Analista Junior
C51D,Masculino,24,Branco,Ensino Superior,PI,5,Marketing,Gerente
5E70,Feminino,26,Preto,Ensino Superior,AL,3,TI,Analista Pleno
B3C2,Feminino,21,Pardo,Mestrado,RN,,Compras,Analista Senior
E1CE,Masculino,26,Pardo,Ensino Superior,AP,0,Contabilidade,Estagiario
864A,Masculino,42,Branco,Pos graduacao,GO,10,Desenvolvimento de Produtos,Analista Pleno
3124,Masculino,29,Branco,Doutorado,CE,3,Compras,Gerente
EB98,Feminino,35,Pardo,Mestrado,SP,4,Desenvolvimento de Produtos,Analista Pleno
FE8E,Masculino,25,Branco,Ensino Superior,PE,6,Marketing,Analista Junior
D387,Masculino,26,Branco,Pos graduacao,PR,6,Administrativo,Analista Pleno
FFC4,Masculino,33,Branco,Ensino Superior,SP,8,TI,Analista Junior
DC23,Feminino,24,Branco,Ensino Superior,MA,7,Recursos Humanos,Gerente
AC9A,Masculino,32,Pardo,Pos graduacao,RN,7,Vendas,Analista Junior
2E85,Masculino,27,Pardo,Ensino Medio,PR,8,Contabilidade,Analista Pleno
D326,Masculino,27,Branco,Doutorado,MG,5,Contabilidade,Analista Pleno
1F30,Feminino,23,Branco,Doutorado,MT,8,Compras,Analista Pleno
3E91,Masculino,35,Pardo,Pos graduacao,BA,4,Administrativo,Gerente
282D,Feminino,43,Branco,Doutorado,RJ,9,Administrativo,Analista Senior
60CB,Masculino,32,Branco,Pos graduacao,MG,10,Contabilidade,Analista Pleno
C1DF,Feminino,23,Preto,Ensino Superior,MA,6,Vendas,Analista Pleno
1A0F,Masculino,18,Preto,Ensino Medio,MG,2,Desenvolvimento de Produtos,Analista Pleno
45A7,Masculino,43,Branco,Ensino Superior,PR,6,Recursos Humanos,Analista Senior
BFDA,Masculino,20,Branco,Ensino Superior,SE,4,Vendas,Analista Junior
ED3F,Masculino,27,Pardo,Ensino Superior,ES,10,Contabilidade,Analista Senior
4B73,Masculino,23,Branco,Ensino Superior,SP,2,Administrativo,Analista Junior
C9B6,Masculino,28,Branco,Doutorado,CE,0,Compras,Analista Junior
33DC,Masculino,45,Pardo,Pos graduacao,SP,5,Administrativo,Analista Senior
BE8F,Feminino,37,Branco,Ensino Medio,MT,4,Marketing,Analista Junior
903A,Masculino,30,Branco,Ensino Superior,PR,6,Desenvolvimento de Produtos,Analista Junior
9130,Masculino,21,Pardo,Ensino Superior,AP,,Recursos Humanos,Analista Pleno
2978,Masculino,37,Pardo,Doutorado,RJ,2,Recursos Humanos,Analista Senior
648B,Masculino,33,Branco,Ensino Superior,RR,5,TI,Gerente
67D3,Feminino,42,Indigena,Ensino Superior,SE,4,Recursos Humanos,Analista Pleno
A24F,Masculino,41,Branco,Pos graduacao,AL,7,Contabilidade,Analista Pleno
F3D4,Masculino,20,Pardo,Pos graduacao,PR,6,Operacoes,Analista Junior
0888,Masculino,25,Branco,Ensino Superior,PB,,Administrativo,Analista Senior
610D,Masculino,52,Branco,Pos graduacao,RJ,3,Desenvolvimento de Produtos,Analista Junior
81A9,Masculino,35,Pardo,Ensino Superior,RS,4,Marketing,Analista Pleno
8ABA,Masculino,30,Branco,Ensino Superior,SC,1,Compras,Gerente
AA2B,Masculino,53,Pardo,Ensino Superior,RS,12,Marketing,Gerente
8053,Masculino,36,Pardo,Pos graduacao,RS,8,Marketing,Analista Junior
E7D1,Feminino,25,Branco,Ensino Superior,PA,8,Compras,Analista Pleno
CBDD,Masculino,39,Pardo,Ensino Superior,PB,10,Marketing,Gerente
93B5,Masculino,34,Pardo,Pos graduacao,RS,4,TI,Analista Junior
C86F,Masculino,18,Pardo,Pos graduacao,MG,,Vendas,Estagiario
2087,Masculino,33,Preto,Ensino Superior,SP,6,TI,Analista Senior
F88D,Masculino,29,Pardo,Ensino Superior,SE,3,Marketing,Analista Pleno
1C69,Masculino,23,Branco,Doutorado,RS,8,TI,Analista Pleno
1ACF,Masculino,21,Pardo,Ensino Superior,ES,5,Desenvolvimento de Produtos,Analista Pleno
2D6A,Masculino,20,Pardo,Ensino Superior,RJ,6,TI,Analista Pleno
A93F,Masculino,36,Pardo,Ensino Superior,BA,9,Marketing,Analista Junior
BED1,Feminino,33,Branco,Ensino Medio,RJ,9,Administrativo,Gerente
F0E5,Feminino,29,Pardo,Ensino Superior,SP,6,Recursos Humanos,Analista Senior
E8B5,Masculino,21,Branco,Ensino Superior,MS,,Compras,Gerente
7A20,Masculino,19,Pardo,Ensino Superior,RJ,,Contabilidade,Analista Senior
431F,Masculino,20,Branco,Pos graduacao,SC,5,Contabilidade,Analista Junior
ECB8,Feminino,27,Pardo,Pos graduacao,GO,3,Administrativo,Analista Senior
DE87,Masculino,26,Pardo,Ensino Medio,DF,10,Operacoes,Analista Pleno
8705,Masculino,20,Pardo,Pos graduacao,AM,3,Desenvolvimento de Produtos,Analista Pleno
BA88,Masculino,36,Branco,Ensino Superior,ES,8,Recursos Humanos,Analista Junior
111F,Masculino,27,Preto,Ensino Medio,RJ,11,Marketing,Analista Pleno
D0ED,Feminino,35,Pardo,Mestrado,MS,11,Marketing,Analista Junior
B4D8,Masculino,47,Preto,Ensino Superior,RR,8,TI,Analista Senior
4603,Masculino,22,Branco,Ensino Superior,PA,2,Compras,Analista Pleno
56EA,Masculino,50,Pardo,Pos graduacao,AM,8,Recursos Humanos,Analista Pleno
B602,Masculino,28,Pardo,Ensino Superior,MG,8,Desenvolvimento de Produtos,Analista Pleno
01F0,Feminino,25,Branco,Doutorado,PA,5,Marketing,Analista Pleno
7503,Masculino,20,Pardo,Ensino Superior,SE,,Vendas,Analista Senior
2052,Masculino,28,Branco,Ensino Superior,SE,5,Vendas,Analista Junior
9496,Feminino,34,Pardo,Ensino Superior,BA,7,Administrativo,Analista Pleno
1C0E,Masculino,26,Branco,Ensino Superior,RN,4,Administrativo,Analista Pleno
C58E,Masculino,23,Preto,Pos graduacao,RR,4,Operacoes,Analista Pleno
589C,Feminino,35,Pardo,Doutorado,RJ,6,Operacoes,Analista Pleno
7EC6,Masculino,26,Branco,Pos graduacao,SP,3,Marketing,Analista Junior
DC97,Masculino,22,Pardo,Ensino Superior,SE,4,Operacoes,Analista Senior
AB0A,Masculino,37,Pardo,Doutorado,SP,2,TI,Analista Pleno
5B2C,Masculino,39,Pardo,Mestrado,RJ,6,Operacoes,Analista Junior
3F53,Masculino,42,Pardo,Pos graduacao,AC,9,Vendas,Analista Senior
1E97,Masculino,31,Pardo,Ensino Superior,MG,2,Operacoes,Analista Senior
BF30,Feminino,23,Branco,Pos graduacao,RS,4,TI,Gerente
514E,Feminino,32,Branco,Pos graduacao,GO,0,Compras,Analista Senior
3D68,Masculino,35,Preto,Pos graduacao,GO,2,TI,Analista Senior
CCF1,Feminino,37,Branco,Ensino Superior,RJ,2,TI,Analista Junior
AF76,Masculino,44,Branco,Ensino Superior,PR,7,Operacoes,Analista Junior
5DC2,Masculino,21,Pardo,Pos graduacao,SE,3,Marketing,Analista Junior
48CA,Masculino,21,Branco,Ensino Superior,RJ,5,Vendas,Analista Pleno
4EAD,Masculino,25,Branco,Ensino Medio,SC,5,Desenvolvimento de Produtos,Analista Pleno
D2BF,Masculino,41,Branco,Ensino Superior,AL,8,TI,Analista Pleno
2698,Masculino,50,Pardo,Ensino Superior,MT,5,Marketing,Gerente
B71B,Masculino,43,Preto,Mestrado,MG,7,Compras,Gerente
1180,Masculino,34,Pardo,Ensino Medio,DF,7,TI,Analista Pleno
8C69,Masculino,24,Branco,Ensino Superior,PB,6,Desenvolvimento de Produtos,Analista Junior
B16F,Masculino,27,Branco,Pos graduacao,MA,6,Administrativo,Analista Junior
BEF1,Masculino,24,Pardo,Ensino Superior,MG,8,Desenvolvimento de Produtos,Analista Junior
4564,Masculino,32,Branco,Ensino Superior,MG,4,Recursos Humanos,Analista Junior
F0C1,Masculino,52,Branco,Ensino Superior,SC,11,TI,Analista Senior
B524,Masculino,22,Branco,Ensino Superior,MA,5,Operacoes,Analista Pleno
2091,Feminino,31,Branco,Ensino Superior,AM,6,Compras,Analista Pleno
2753,Masculino,22,Pardo,Pos graduacao,PA,,Desenvolvimento de Produtos,Analista Junior
221A,Masculino,45,Preto,Ensino Superior,AM,8,Desenvolvimento de Produtos,Gerente
E55A,Masculino,26,Pardo,Ensino Superior,PR,9,Contabilidade,Analista Senior
9ED2,Masculino,19,Indigena,Ensino Superior,SP,,Administrativo,Estagiario
89D2,Masculino,30,Branco,Doutorado,RN,3,Administrativo,Analista Junior
05B7,Feminino,39,Branco,Ensino Superior,RN,4,Administrativo,Analista Pleno
75F2,Feminino,28,Pardo,Ensino Superior,SE,4,Compras,Analista Junior
3D35,Masculino,21,Pardo,Ensino Superior,TO,7,Marketing,Analista Pleno
C05E,Masculino,29,Pardo,Ensino Medio,RJ,3,Contabilidade,Analista Senior
8CDF,Feminino,34,Branco,Ensino Superior,RS,4,Contabilidade,Analista Senior
CA00,Masculino,34,Branco,Ensino Superior,RJ,7,Compras,Analista Junior
52C9,Masculino,33,Pardo,Ensino Superior,MT,4,Recursos Humanos,Analista Junior
939A,Masculino,37,Preto,Pos graduacao,TO,3,TI,Analista Senior
EFA2,Feminino,29,Pardo,Ensino Superior,SC,8,Recursos Humanos,Analista Senior
DE86,Masculino,22,Pardo,Mestrado,PB,1,Administrativo,Gerente
6AD5,Masculino,27,Branco,Ensino Superior,MG,1,Desenvolvimento de Produtos,Gerente
184D,Masculino,21,Branco,Ensino Medio,MT,3,TI,Analista Senior
0EF7,Masculino,34,Pardo,Ensino Superior,PB,4,Administrativo,Gerente
23FD,Masculino,53,Pardo,Ensino Superior,RS,10,Compras,Analista Pleno
40C1,Masculino,27,Pardo,Ensino Superior,PR,2,Recursos Humanos,Analista Senior
7B35,Masculino,35,Pardo,Ensino Superior,PR,4,Compras,Analista Senior
1176,Masculino,30,Branco,Ensino Superior,SC,11,Compras,Analista Pleno
74FA,Masculino,19,Branco,Ensino Superior,CE,,TI,Analista Pleno
5D03,Masculino,51,Branco,Pos graduacao,RJ,9,TI,Analista Pleno
0E48,Masculino,22,Pardo,Ensino Superior,RS,,Administrativo,Analista Pleno
14FC,Masculino,24,Preto,Ensino Superior,SP,,TI,Analista Senior
550F,Feminino,36,Branco,Ensino Superior,MS,7,Compras,Analista Junior
1C82,Feminino,40,Pardo,Ensino Superior,AL,6,Administrativo,Analista Senior
D53C,Masculino,40,Branco,Pos graduacao,AM,6,TI,Analista Pleno
DC9A,Masculino,31,Pardo,Ensino Superior,MT,8,Marketing,Analista Senior
71FD,Masculino,29,Branco,Pos graduacao,MG,6,Contabilidade,Analista Senior
6376,Masculino,26,Pardo,Ensino Superior,SE,11,TI,Analista Senior
57C7,Feminino,23,Pardo,Pos graduacao,PE,4,Operacoes,Analista Pleno
DAC1,Masculino,25,Branco,Ensino Superior,MS,0,Contabilidade,Analista Pleno
BA03,Masculino,30,Branco,Ensino Superior,RO,2,Vendas,Gerente
6954,Masculino,41,Branco,Pos graduacao,CE,13,Compras,Analista Pleno
