,ID,genero,idade,etnia,formacao,estado,tempo_de_casa,departamento,senioridade
85,8F38,Masculino,36,Branco,Mestrado,TO,6,Desenvolvimento de Produtos,Analista Junior
86,FF44,Feminino,47,Pardo,Ensino Superior,PI,0,TI,Analista Senior
87,8710,Masculino,41,Preto,Ensino Superior,AM,8,Desenvolvimento de Produtos,Estagiario
88,F0F1,Feminino,34,Pardo,Ensino Superior,PB,6,Desenvolvimento de Produtos,Gerente
89,D7DA,Feminino,39,Pardo,Mestrado,SP,3,Administrativo,Analista Junior
90,4D13,Feminino,31,Pardo,Ensino Superior,RS,,Compras,Gerente
91,A843,Masculino,29,Preto,Ensino Superior,CE,3,TI,Analista Senior
92,886D,Masculino,38,Branco,Ensino Medio,PI,3,Operacoes,Analista Senior
93,8F96,Feminino,37,Pardo,Ensino Superior,BA,5,Contabilidade,Analista Junior
94,5DA5,Feminino,31,Branco,Mestrado,RO,2,Compras,Analista Pleno
95,165B,Masculino,32,Pardo,Doutorado,PI,4,Marketing,Gerente
96,5577,Masculino,27,Pardo,Doutorado,RS,5,Vendas,Estagiario
97,8F8E,Masculino,20,Pardo,Doutorado,SP,,Administrativo,Analista Senior
98,4113,Masculino,33,Branco,Ensino Superior,RJ,14,Recursos Humanos,Gerente
99,3682,Feminino,21,Pardo,Ensino Medio,RS,6,Vendas,Estagiario
100,1C3D,Feminino,32,Pardo,Ensino Superior,BA,6,Compras,Analista Senior
101,0605,Masculino,41,Pardo,Ensino Superior,TO,6,Operacoes,Gerente
102,1E27,Feminino,18,Branco,Ensino Superior,RO,4,TI,Analista Pleno
103,A9A9,Masculino,53,Branco,Ensino Superior,DF,7,TI,Analista Senior
104,B5D7,Masculino,28,Branco,Ensino Superior,BA,12,TI,Gerente
105,F322,Masculino,39,Preto,Ensino Superior,RS,,Marketing,Analista Pleno
106,8054,Masculino,34,Pardo,Pos graduacao,PA,4,Vendas,Estagiario
107,B47E,Masculino,37,Pardo,Mestrado,RS,6,Contabilidade,Analista Junior
108,5A29,Masculino,32,Pardo,Pos graduacao,AC,7,Contabilidade,Analista Senior
109,874C,Masculino,34,Pardo,Ensino Superior,SC,7,Operacoes,Analista Junior
110,3CC1,Masculino,26,Pardo,Doutorado,PE,5,Operacoes,Analista Pleno
111,2535,Masculino,20,Branco,Ensino Superior,PB,,Marketing,Analista Pleno
112,2841,Feminino,27,Pardo,Ensino Superior,MS,6,Contabilidade,Gerente
113,460C,Masculino,32,Pardo,Ensino Superior,BA,9,TI,Gerente
114,DE24,Masculino,34,Branco,Pos graduacao,PR,6,Compras,Analista Pleno
115,AE29,Feminino,38,Pardo,Ensino Superior,MT,2,Contabilidade,Analista Junior
116,9F89,Masculino,21,Pardo,Ensino Medio,PI,4,Vendas,Analista Junior
117,95C1,Masculino,38,Pardo,Mestrado,AM,13,Operacoes,Analista Junior
118,C69C,Feminino,35,Pardo,Mestrado,RJ,,Vendas,Analista Junior
119,E2E4,Masculino,20,Branco,Ensino Superior,RS,5,Operacoes,Analista Junior
120,A207,Feminino,37,Pardo,Ensino Superior,BA,10,TI,Analista Pleno
121,147D,Masculino,19,Branco,Doutorado,MT,5,Compras,Analista Pleno
122,A4A0,Masculino,20,Branco,Ensino Superior,SC,6,Compras,Gerente
123,377F,Masculino,33,Branco,Ensino Superior,MA,3,TI,Gerente
124,7384,Masculino,42,Branco,Ensino Superior,RO,8,Desenvolvimento de Produtos,Analista Junior
125,7C03,Masculino,24,Branco,Ensino Superior,SC,3,Marketing,Analista Pleno
126,9F3E,Feminino,36,Branco,Ensino Superior,TO,6,Compras,Estagiario
127,99DA,Masculino,38,Branco,Ensino Superior,RN,12,Compras,Analista Junior
128,C5F2,Masculino,30,Branco,Ensino Superior,MT,2,Operacoes,Estagiario
129,5F86,Feminino,20,Pardo,Pos graduacao,RJ,6,Contabilidade,Analista Senior
130,BF2B,Feminino,19,Branco,Ensino Superior,GO,5,Administrativo,Analista Senior
131,244D,Masculino,28,Indigena,Ensino Superior,RS,4,Administrativo,Analista Pleno
132,5E7B,Masculino,36,Branco,Pos graduacao,AP,0,Marketing,Analista Junior
133,D8F6,Masculino,49,Branco,Mestrado,RS,2,Operacoes,Analista Senior
134,543F,Masculino,28,Pardo,Mestrado,RS,3,TI,Analista Junior
135,6266,Masculino,40,Branco,Ensino Superior,GO,3,Administrativo,Analista Senior
136,BD55,Masculino,22,Pardo,Ensino Superior,SC,6,Recursos Humanos,Estagiario
137,7D7B,Feminino,19,Pardo,Ensino Superior,MG,,Marketing,Analista Pleno
138,46F8,Masculino,22,Pardo,Pos graduacao,MG,7,Administrativo,Analista Pleno
139,D995,Masculino,18,Pardo,Ensino Superior,RJ,,Desenvolvimento de Produtos,Gerente
140,FF84,Feminino,37,Preto,Ensino Superior,MG,4,Contabilidade,Analista Senior
141,07CD,Feminino,35,Branco,Ensino Superior,MS,1,Contabilidade,Analista Pleno
142,9DBB,Masculino,32,Branco,Ensino Superior,RJ,8,Marketing,Analista Pleno
143,B17E,Masculino,32,Pardo,Ensino Medio,MG,1,Operacoes,Analista Senior
144,86DA,Feminino,20,Pardo,Ensino Superior,CE,,Contabilidade,Analista Senior
145,812C,Masculino,21,Pardo,Ensino Superior,RJ,,Operacoes,Gerente
146,22EF,Masculino,26,Pardo,Ensino Superior,PE,9,Desenvolvimento de Produtos,Analista Senior
147,EDB7,Masculino,39,Pardo,Ensino Superior,MG,6,Vendas,Analista Junior
148,5DCD,Masculino,56,Branco,Pos graduacao,AP,6,Vendas,Analista Pleno
149,09A0,Feminino,22,Branco,Mestrado,RR,5,Recursos Humanos,Analista Junior
150,CC9D,Masculino,31,Branco,Mestrado,MG,5,Desenvolvimento de Produtos,Estagiario
151,5599,Masculino,28,Branco,Mestrado,RJ,7,Contabilidade,Gerente
152,F2A8,Feminino,35,Pardo,Mestrado,GO,7,Marketing,Analista Junior
153,6B51,Masculino,40,Branco,Ensino Superior,SP,3,TI,Analista Senior
154,A735,Masculino,41,Branco,Ensino Superior,MS,0,Administrativo,Estagiario
155,F771,Masculino,35,Branco,Pos graduacao,RJ,11,Marketing,Analista Junior
156,9146,Masculino,32,Preto,Pos graduacao,PB,10,TI,Gerente
157,80F9,Masculino,24,Pardo,Ensino Superior,MG,8,Recursos Humanos,Analista Junior
158,847F,Masculino,19,Branco,Ensino Superior,DF,5,Administrativo,Analista Senior
159,0983,Masculino,21,Pardo,Ensino Superior,RS,,TI,Analista Junior
160,B9C9,Masculino,19,Pardo,Ensino Superior,PA,,Operacoes,Estagiario
161,4810,Feminino,19,Pardo,Ensino Superior,PB,,Desenvolvimento de Produtos,Gerente
162,8865,Masculino,20,Branco,Mestrado,RS,1,Compras,Analista Senior
163,E5C2,Masculino,37,Pardo,Pos graduacao,RJ,2,TI,Gerente
164,FDC3,Masculino,28,Preto,Ensino Superior,BA,5,Operacoes,Analista Pleno
165,8E71,Masculino,41,Pardo,Ensino Superior,BA,3,Compras,Analista Junior
166,0529,Masculino,31,Pardo,Ensino Superior,ES,2,Vendas,Analista Junior
167,1D25,Masculino,27,Pardo,Ensino Superior,BA,11,Contabilidade,Analista Senior
168,1652,Masculino,36,Branco,Ensino Superior,RN,3,Recursos Humanos,Analista Junior
169,8220,Masculino,30,Preto,Ensino Superior,ES,7,Marketing,Analista Senior
170,253C,Masculino,27,Branco,Doutorado,SP,6,Marketing,Analista Senior
171,2181,Masculino,30,Pardo,Ensino Superior,PR,9,Recursos Humanos,Analista Junior
172,6B50,Feminino,19,Branco,Ensino Medio,RJ,2,Contabilidade,Analista Senior
173,8A8D,Masculino,32,Pardo,Ensino Superior,SE,,Vendas,Analista Senior
174,A7AA,Masculino,30,Pardo,Pos graduacao,RN,4,Compras,Analista Junior
175,798A,Masculino,21,Branco,Ensino Superior,RO,6,Contabilidade,Analista Senior
176,CDAC,Feminino,24,Branco,Ensino Superior,SC,7,Administrativo,Analista Junior
177,2458,Masculino,31,Pardo,Ensino Superior,PE,9,Compras,Gerente
178,FBF1,Feminino,40,Preto,Ensino Superior,MA,9,TI,Gerente
179,C4BD,Masculino,39,Pardo,Ensino Superior,RJ,6,Administrativo,Gerente
180,B1A9,Masculino,40,Branco,Ensino Superior,SP,5,Operacoes,Analista Junior
181,19FD,Masculino,20,Branco,Ensino Superior,DF,2,Desenvolvimento de Produtos,Gerente
182,5A4D,Masculino,47,Pardo,Ensino Superior,PR,5,Contabilidade,Analista Pleno
183,21C7,Masculino,30,Pardo,Mestrado,RO,5,Marketing,Gerente
184,3533,Masculino,35,Branco,Mestrado,RJ,8,Marketing,Analista Pleno
185,0106,Masculino,18,Preto,Mestrado,RJ,3,Desenvolvimento de Produtos,Analista Senior
186,D135,Masculino,31,Pardo,Mestrado,PI,0,Desenvolvimento de Produtos,Analista Junior
187,E0E1,Feminino,26,Pardo,Ensino Superior,AM,9,TI,Analista Senior
188,B951,Masculino,30,Pardo,Ensino Superior,MA,1,TI,Analista Pleno
189,22C1,Feminino,21,Pardo,Ensino Medio,RJ,,Compras,Analista Senior
190,C697,Feminino,40,Branco,Doutorado,SP,8,Compras,Analista Junior
191,AD9C,Masculino,32,Pardo,Ensino Superior,RR,2,Compras,Analista Senior
192,070E,Feminino,42,Branco,Ensino Superior,RJ,7,Vendas,Analista Senior
193,A016,Masculino,43,Preto,Pos graduacao,RJ,,Compras,Gerente
194,DCCF,Masculino,30,Pardo,Pos graduacao,RS,3,Vendas,Analista Pleno
195,E34A,Masculino,31,Pardo,Ensino Superior,SC,0,Contabilidade,Analista Pleno
196,444D,Masculino,27,Pardo,Mestrado,SP,6,Contabilidade,Analista Junior
197,85B2,Masculino,19,Pardo,Ensino Superior,SP,,Marketing,Analista Senior
198,DF23,Masculino,31,Pardo,Mestrado,TO,4,Contabilidade,Gerente
199,1FAF,Masculino,34,Branco,Ensino Superior,MT,2,TI,Analista Junior
200,4334,Feminino,39,Branco,Ensino Superior,AM,7,Desenvolvimento de Produtos,Analista Pleno
201,7045,Masculino,32,Branco,Pos graduacao,BA,5,Recursos Humanos,Analista Pleno
202,D2E8,Masculino,36,Pardo,Doutorado,PI,7,Recursos Humanos,Diretor
203,10E5,Masculino,27,Pardo,Doutorado,GO,,Contabilidade,Analista Junior
204,A577,Masculino,44,Branco,Mestrado,SP,1,Recursos Humanos,Analista Senior
205,C909,Masculino,21,Pardo,Ensino Superior,SP,1,TI,Analista Junior
206,FAFF,Feminino,39,Pardo,Ensino Superior,RN,9,Contabilidade,Analista Senior
207,1D5B,Feminino,33,Branco,Ensino Superior,RJ,7,Recursos Humanos,Analista Junior
208,4BBD,Masculino,43,Pardo,Ensino Superior,MG,5,Marketing,Analista Pleno
209,6418,Masculino,28,Branco,Ensino Superior,SC,5,TI,Analista Pleno
210,8ACE,Masculino,19,Branco,Ensino Superior,RS,5,Compras,Analista Pleno
211,212F,Masculino,38,Pardo,Ensino Superior,GO,5,Administrativo,Analista Junior
212,B479,Masculino,28,Branco,Ensino Superior,AC,3,Operacoes,Analista Junior
213,C51D,Masculino,24,Branco,Ensino Superior,PI,5,Marketing,Gerente
214,5E70,Feminino,26,Preto,Ensino Superior,AL,3,TI,Analista Pleno
215,B3C2,Feminino,21,Pardo,Mestrado,RN,,Compras,Analista Senior
216,E1CE,Masculino,26,Pardo,Ensino Superior,AP,0,Contabilidade,Estagiario
217,864A,Masculino,42,Branco,Pos graduacao,GO,10,Desenvolvimento de Produtos,Analista Pleno
218,3124,Masculino,29,Branco,Doutorado,CE,3,Compras,Gerente
219,EB98,Feminino,35,Pardo,Mestrado,SP,4,Desenvolvimento de Produtos,Analista Pleno
220,FE8E,Masculino,25,Branco,Ensino Superior,PE,6,Marketing,Analista Junior
221,D387,Masculino,26,Branco,Pos graduacao,PR,6,Administrativo,Analista Pleno
222,FFC4,Masculino,33,Branco,Ensino Superior,SP,8,TI,Analista Junior
223,DC23,Feminino,24,Branco,Ensino Superior,MA,7,Recursos Humanos,Gerente
224,AC9A,Masculino,32,Pardo,Pos graduacao,RN,7,Vendas,Analista Junior
225,2E85,Masculino,27,Pardo,Ensino Medio,PR,8,Contabilidade,Analista Pleno
226,D326,Masculino,27,Branco,Doutorado,MG,5,Contabilidade,Analista Pleno
227,1F30,Feminino,23,Branco,Doutorado,MT,8,Compras,Analista Pleno
228,3E91,Masculino,35,Pardo,Pos graduacao,BA,4,Administrativo,Gerente
229,282D,Feminino,43,Branco,Doutorado,RJ,9,Administrativo,Analista Senior
230,60CB,Masculino,32,Branco,Pos graduacao,MG,10,Contabilidade,Analista Pleno
231,C1DF,Feminino,23,Preto,Ensino Superior,MA,6,Vendas,Analista Pleno
232,1A0F,Masculino,18,Preto,Ensino Medio,MG,2,Desenvolvimento de Produtos,Analista Pleno
233,45A7,Masculino,43,Branco,Ensino Superior,PR,6,Recursos Humanos,Analista Senior
234,BFDA,Masculino,20,Branco,Ensino Superior,SE,4,Vendas,Analista Junior
235,ED3F,Masculino,27,Pardo,Ensino Superior,ES,10,Contabilidade,Analista Senior
236,4B73,Masculino,23,Branco,Ensino Superior,SP,2,Administrativo,Analista Junior
237,C9B6,Masculino,28,Branco,Doutorado,CE,0,Compras,Analista Junior
238,33DC,Masculino,45,Pardo,Pos graduacao,SP,5,Administrativo,Analista Senior
239,BE8F,Feminino,37,Branco,Ensino Medio,MT,4,Marketing,Analista Junior
240,903A,Masculino,30,Branco,Ensino Superior,PR,6,Desenvolvimento de Produtos,Analista Junior
241,9130,Masculino,21,Pardo,Ensino Superior,AP,,Recursos Humanos,Analista Pleno
242,2978,Masculino,37,Pardo,Doutorado,RJ,2,Recursos Humanos,Analista Senior
243,648B,Masculino,33,Branco,Ensino Superior,RR,5,TI,Gerente
244,67D3,Feminino,42,Indigena,Ensino Superior,SE,4,Recursos Humanos,Analista Pleno
245,A24F,Masculino,41,Branco,Pos graduacao,AL,7,Contabilidade,Analista Pleno
246,F3D4,Masculino,20,Pardo,Pos graduacao,PR,6,Operacoes,Analista Junior
247,0888,Masculino,25,Branco,Ensino Superior,PB,,Administrativo,Analista Senior
248,610D,Masculino,52,Branco,Pos graduacao,RJ,3,Desenvolvimento de Produtos,Analista Junior
249,81A9,Masculino,35,Pardo,Ensino Superior,RS,4,Marketing,Analista Pleno
250,8ABA,Masculino,30,Branco,Ensino Superior,SC,1,Compras,Gerente
251,AA2B,Masculino,53,Pardo,Ensino Superior,RS,12,Marketing,Gerente
252,8053,Masculino,36,Pardo,Pos graduacao,RS,8,Marketing,Analista Junior
253,E7D1,Feminino,25,Branco,Ensino Superior,PA,8,Compras,Analista Pleno
254,CBDD,Masculino,39,Pardo,Ensino Superior,PB,10,Marketing,Gerente
255,93B5,Masculino,34,Pardo,Pos graduacao,RS,4,TI,Analista Junior
256,C86F,Masculino,18,Pardo,Pos graduacao,MG,,Vendas,Estagiario
257,2087,Masculino,33,Preto,Ensino Superior,SP,6,TI,Analista Senior
258,F88D,Masculino,29,Pardo,Ensino Superior,SE,3,Marketing,Analista Pleno
259,1C69,Masculino,23,Branco,Doutorado,RS,8,TI,Analista Pleno
260,1ACF,Masculino,21,Pardo,Ensino Superior,ES,5,Desenvolvimento de Produtos,Analista Pleno
261,2D6A,Masculino,20,Pardo,Ensino Superior,RJ,6,TI,Analista Pleno
262,A93F,Masculino,36,Pardo,Ensino Superior,BA,9,Marketing,Analista Junior
263,BED1,Feminino,33,Branco,Ensino Medio,RJ,9,Administrativo,Gerente
264,F0E5,Feminino,29,Pardo,Ensino Superior,SP,6,Recursos Humanos,Analista Senior
265,E8B5,Masculino,21,Branco,Ensino Superior,MS,,Compras,Gerente
266,7A20,Masculino,19,Pardo,Ensino Superior,RJ,,Contabilidade,Analista Senior
267,431F,Masculino,20,Branco,Pos graduacao,SC,5,Contabilidade,Analista Junior
268,ECB8,Feminino,27,Pardo,Pos graduacao,GO,3,Administrativo,Analista Senior
269,DE87,Masculino,26,Pardo,Ensino Medio,DF,10,Operacoes,Analista Pleno
270,8D5B,Feminino,21,Branco,Doutorado,RN,6,Operacoes,Estagiario
271,8705,Masculino,20,Pardo,Pos graduacao,AM,3,Desenvolvimento de Produtos,Analista Pleno
272,BA88,Masculino,36,Branco,Ensino Superior,ES,8,Recursos Humanos,Analista Junior
273,111F,Masculino,27,Preto,Ensino Medio,RJ,11,Marketing,Analista Pleno
274,D0ED,Feminino,35,Pardo,Mestrado,MS,11,Marketing,Analista Junior
275,B4D8,Masculino,47,Preto,Ensino Superior,RR,8,TI,Analista Senior
276,4603,Masculino,22,Branco,Ensino Superior,PA,2,Compras,Analista Pleno
277,56EA,Masculino,50,Pardo,Pos graduacao,AM,8,Recursos Humanos,Analista Pleno
278,B602,Masculino,28,Pardo,Ensino Superior,MG,8,Desenvolvimento de Produtos,Analista Pleno
279,01F0,Feminino,25,Branco,Doutorado,PA,5,Marketing,Analista Pleno
280,7503,Masculino,20,Pardo,Ensino Superior,SE,,Vendas,Analista Senior
281,2052,Masculino,28,Branco,Ensino Superior,SE,5,Vendas,Analista Junior
282,9496,Feminino,34,Pardo,Ensino Superior,BA,7,Administrativo,Analista Pleno
283,1C0E,Masculino,26,Branco,Ensino Superior,RN,4,Administrativo,Analista Pleno
284,C58E,Masculino,23,Preto,Pos graduacao,RR,4,Operacoes,Analista Pleno
285,589C,Feminino,35,Pardo,Doutorado,RJ,6,Operacoes,Analista Pleno
286,7EC6,Masculino,26,Branco,Pos graduacao,SP,3,Marketing,Analista Junior
287,DC97,Masculino,22,Pardo,Ensino Superior,SE,4,Operacoes,Analista Senior
288,AB0A,Masculino,37,Pardo,Doutorado,SP,2,TI,Analista Pleno
289,9D98,Feminino,37,Branco,Ensino Superior,MA,6,Recursos Humanos,Estagiario
290,5B2C,Masculino,39,Pardo,Mestrado,RJ,6,Operacoes,Analista Junior
291,3F53,Masculino,42,Pardo,Pos graduacao,AC,9,Vendas,Analista Senior
292,1E97,Masculino,31,Pardo,Ensino Superior,MG,2,Operacoes,Analista Senior
293,BF30,Feminino,23,Branco,Pos graduacao,RS,4,TI,Gerente
294,514E,Feminino,32,Branco,Pos graduacao,GO,0,Compras,Analista Senior
295,3D68,Masculino,35,Preto,Pos graduacao,GO,2,TI,Analista Senior
296,CCF1,Feminino,37,Branco,Ensino Superior,RJ,2,TI,Analista Junior
297,AF76,Masculino,44,Branco,Ensino Superior,PR,7,Operacoes,Analista Junior
298,5DC2,Masculino,21,Pardo,Pos graduacao,SE,3,Marketing,Analista Junior
299,21AC,Masculino,31,Preto,Mestrado,PB,5,Recursos Humanos,Estagiario
300,24DD,Masculino,28,Pardo,Pos graduacao,RJ,9,Vendas,Estagiario
301,48CA,Masculino,21,Branco,Ensino Superior,RJ,5,Vendas,Analista Pleno
302,4EAD,Masculino,25,Branco,Ensino Medio,SC,5,Desenvolvimento de Produtos,Analista Pleno
303,D2BF,Masculino,41,Branco,Ensino Superior,AL,8,TI,Analista Pleno
304,2698,Masculino,50,Pardo,Ensino Superior,MT,5,Marketing,Gerente
305,B71B,Masculino,43,Preto,Mestrado,MG,7,Compras,Gerente
306,1180,Masculino,34,Pardo,Ensino Medio,DF,7,TI,Analista Pleno
307,8C69,Masculino,24,Branco,Ensino Superior,PB,6,Desenvolvimento de Produtos,Analista Junior
308,B16F,Masculino,27,Branco,Pos graduacao,MA,6,Administrativo,Analista Junior
309,BEF1,Masculino,24,Pardo,Ensino Superior,MG,8,Desenvolvimento de Produtos,Analista Junior
310,4564,Masculino,32,Branco,Ensino Superior,MG,4,Recursos Humanos,Analista Junior
311,F0C1,Masculino,52,Branco,Ensino Superior,SC,11,TI,Analista Senior
312,B524,Masculino,22,Branco,Ensino Superior,MA,5,Operacoes,Analista Pleno
313,2091,Feminino,31,Branco,Ensino Superior,AM,6,Compras,Analista Pleno
314,2753,Masculino,22,Pardo,Pos graduacao,PA,,Desenvolvimento de Produtos,Analista Junior
315,221A,Masculino,45,Preto,Ensino Superior,AM,8,Desenvolvimento de Produtos,Gerente
316,E55A,Masculino,26,Pardo,Ensino Superior,PR,9,Contabilidade,Analista Senior
317,9ED2,Masculino,19,Indigena,Ensino Superior,SP,,Administrativo,Estagiario
318,89D2,Masculino,30,Branco,Doutorado,RN,3,Administrativo,Analista Junior
319,05B7,Feminino,39,Branco,Ensino Superior,RN,4,Administrativo,Analista Pleno
320,75F2,Feminino,28,Pardo,Ensino Superior,SE,4,Compras,Analista Junior
